,Max_RSSI_VLC,Min_RSSI_VLC,Std_RSSI_VLC,link_quality_wifi,signal_level_wifi,noise_level_wifi
0,1872,223,579,91,-20,0
1,1891,82,211,100,-20,0
2,1892,168,316,100,-20,0
3,1873,220,584,100,-20,0
4,1875,219,585,100,-20,0
5,1895,169,545,100,-20,0
6,1872,218,585,100,-20,0
7,1880,220,584,100,-20,0
8,1891,189,302,100,-20,0
9,1874,218,584,100,-20,0
10,1871,219,585,100,-20,0
11,1033,1013,2,100,-20,0
12,1035,1016,2,100,-19,0
13,1066,984,4,85,-21,0
14,1033,1015,2,85,-21,0
15,1037,1016,2,84,-21,0
16,1037,1014,3,84,-22,0
17,1037,1016,3,84,-22,0
18,1036,1015,3,85,-22,0
19,1034,1017,3,96,-20,0
20,1034,1015,3,96,-21,0
21,1037,1015,3,85,-22,0
22,1040,1014,3,85,-22,0
23,1035,1015,3,85,-22,0
24,1054,992,4,85,-22,0
25,1856,227,578,99,-21,0
26,1861,227,578,100,-20,0
27,1870,227,577,100,-20,0
28,1884,186,563,100,-20,0
29,1879,195,332,100,-20,0
30,1882,195,480,100,-20,0
31,1856,224,583,100,-20,0
32,1862,191,580,100,-20,0
33,1032,1020,2,100,-20,0
34,1035,1018,2,100,-20,0
35,1032,1017,2,85,-22,0
36,1036,1016,2,85,-22,0
37,1033,1018,2,85,-22,0
38,1035,1013,2,85,-22,0
39,1083,993,3,85,-22,0
40,1063,991,3,84,-22,0
41,1035,1014,2,85,-22,0
42,1034,1016,3,85,-22,0
43,1037,1015,3,85,-22,0
44,1868,230,577,99,-20,0
45,1879,181,533,100,-20,0
46,1861,198,567,100,-20,0
47,1862,230,580,100,-20,0
48,1865,227,571,100,-20,0
49,1862,183,567,100,-20,0
50,1056,992,19,100,-18,0
51,1032,1016,2,100,-18,0
52,1032,1019,2,82,-15,0
53,1032,1016,2,81,-15,0
54,1068,989,3,83,-20,0
