,Doppler Velocity,Activity
0,2.530184659,
1,2.308238636,
2,2.752130682,
3,3.073830466,
4,3.096052168,
5,3.576279899,
6,3.811430457,
7,3.805471872,
8,3.932217828,
9,4.174236879,
10,4.3033396,
11,4.455051732,
12,4.518569468,
13,4.672141869,
14,4.774401992,
15,4.913522181,
16,5.056639099,
17,5.149244163,
18,5.408168745,
19,5.572714935,
20,5.522203081,
21,5.574657698,
22,5.625169552,
23,5.650425478,
24,5.69251869,
25,5.803223835,
26,5.858796749,
27,5.917727245,
28,6.027169594,
29,6.099548051,
30,6.116385335,
31,6.139115669,
32,6.208654271,
33,6.141305133,
34,6.213187386,
35,6.132654802,
36,6.094388247,
37,6.094388247,
38,6.124695359,
39,6.138726429,
40,6.110664288,
41,6.085408362,
42,5.972421321,
43,6.039770459,
44,5.981775368,
45,5.85268952,
46,5.894782732,
47,5.728463214,
48,5.678584738,
49,5.877825938,
50,5.953593718,
51,6.012524214,
52,6.054617425,
53,6.029361498,
54,5.792376719,
55,5.595217549,
56,5.628892118,
57,5.527868411,
58,5.397762122,
59,5.355668911,
60,5.324519935,
61,5.224372376,
62,5.35065201,
63,5.359070652,
64,5.349121347,
65,5.268542914,
66,5.319054768,
67,5.339259509,
68,5.340381995,
69,5.402118705,
70,5.357810061,
71,5.438965772,
72,5.426014015,
73,5.668382294,
74,5.859591916,
75,5.912547891,
76,5.929385176,
77,5.924159812,
78,5.901710099,
79,5.884199323,
80,5.858943396,
81,5.774756974,
82,5.783175616,
83,5.895424179,
84,6.134420079,
85,6.161033851,
86,6.217607127,
87,6.377561329,
88,6.567322076,
89,6.630461893,
90,6.660669962,
91,6.467041191,
92,6.45661811,
93,6.472690063,
94,6.544849854,
95,6.527339078,
96,6.500399423,
97,6.476827224,
98,6.455179287,
99,6.546258165,
100,6.749331852,
101,6.862465452,
102,6.641985642,
103,6.596699153,
104,6.467975397,
105,6.493231324,
106,6.535324535,
107,6.577417746,
108,6.666954684,
109,6.633280115,
110,6.742722464,
111,6.725885179,
112,6.666019279,
113,6.637489436,
114,6.613993679,
115,6.58267633,
116,6.523745834,
117,6.353347965,
118,6.406327351,
119,6.498932416,
120,6.574700196,
121,6.677728342,
122,6.677728342,
123,6.778752049,
124,6.838356036,
125,7.101017674,
126,7.192808031,
127,7.346779755,
128,7.213417772,
129,6.878676521,
130,6.871567445,
131,6.968592297,
132,6.892824517,
133,7.007077519,
134,6.981821592,
135,6.855541958,
136,6.729262325,
137,6.800353081,
138,6.988837127,
139,6.980418485,
140,7.050357974,
141,7.090580376,
142,7.065324449,
143,7.112223073,
144,7.196409495,
145,7.142659702,
146,7.148552752,
147,7.049270833,
148,7.007177622,
149,7.030028222,
150,6.86646603,
151,6.816889581,
152,6.732703159,
153,6.689986345,
154,6.420589793,
155,6.572940061,
156,6.305917998,
157,6.29148604,
158,6.409347031,
159,6.249690457,
160,6.130777136,
161,6.07184664,
162,5.994812898,
163,5.92430677,
164,5.915888127,
165,5.844329668,
166,5.684375466,
167,5.512728705,
168,5.42012364,
169,5.265997728,
170,5.131299452,
171,5.0113338,
172,5.182792211,
173,5.267594631,
174,5.684019532,
175,5.776063354,
176,5.864313948,
177,5.847476664,
178,5.84988199,
179,5.920839118,
180,5.995671493,
181,6.181302555,
182,6.263306366,
183,6.327047514,
184,6.220576451,
185,6.288326476,
186,6.298687882,
187,6.429644539,
188,6.730703123,
189,6.755959049,
190,6.848564114,
191,6.781555812,
192,6.988089476,
193,7.114369109,
194,7.342674669,
195,7.289356602,
196,7.289356602,
197,7.363440653,
198,7.632837205,
199,7.742279554,
200,7.820151995,
201,7.573421019,
202,7.429688102,
203,7.200945939,
204,7.159814859,
205,7.197843898,
206,7.239937109,
207,7.115953469,
208,7.216977175,
209,7.191019695,
210,7.206361327,
211,7.588634699,
212,7.575405404,
213,7.530340908,
214,7.671761762,
215,7.693872262,
216,7.587523944,
217,7.294118672,
218,7.243606818,
219,7.166636375,
220,7.120657636,
221,6.849931825,
222,6.689977623,
223,6.516393238,
224,6.623906315,
225,6.691255453,
226,6.745856361,
227,6.585902158,
228,6.468041167,
229,6.434366598,
230,6.328809776,
231,6.420139289,
232,6.351871753,
233,6.399370037,
234,6.323602257,
235,6.239415834,
236,6.304468979,
237,6.238522948,
238,6.232635999,
239,6.07495918,
240,5.594468315,
241,5.643893892,
242,5.802795765,
243,5.745160445,
244,6.150457935,
245,6.348685902,
246,6.230824911,
247,6.213987627,
248,6.257283501,
249,6.419828055,
250,6.672387322,
251,6.73973646,
252,6.756573745,
253,6.618192313,
254,6.592936386,
255,6.650547832,
256,6.761348027,
257,6.988651367,
258,7.298820559,
259,7.379121454,
260,7.333813852,
261,7.283301999,
262,7.243821469,
263,7.260658754,
264,7.301348858,
265,7.427628492,
266,7.4093881,
267,7.424395245,
268,7.549472215,
269,7.456867151,
270,7.466372069,
271,7.262786634,
272,7.203856139,
273,6.773857797,
274,6.471645721,
275,6.680533282,
276,6.882580695,
277,7.069661634,
278,7.172190545,
279,7.036690494,
280,6.944085429,
281,6.976229336,
282,7.136183539,
283,7.119346254,
284,7.010220736,
285,6.996761092,
286,7.182906626,
287,7.041110279,
288,7.182356388,
289,7.220520899,
290,7.38215883,
291,7.403205436,
292,7.546322354,
293,7.74682635,
294,7.839431415,
295,7.901349171,
296,7.884511886,
297,7.926605097,
298,8.052884731,
299,7.977116951,
300,8.018484079,
301,7.990665956,
302,8.235454169,
303,8.380495349,
304,8.474678909,
305,8.415748413,
306,8.39439446,
307,8.270241745,
308,8.413225034,
309,8.569985959,
310,8.768512849,
311,8.658080072,
312,8.615986861,
313,8.530397331,
314,8.306777147,
315,7.977514695,
316,7.758629996,
317,7.642639814,
318,7.652180942,
319,7.645977732,
320,7.707193288,
321,7.529559936,
322,7.261005249,
323,6.974771413,
324,6.845504519,
325,6.778155381,
326,6.424572407,
327,6.264618204,
328,6.09624536,
329,5.964863518,
330,5.891657934,
331,5.681191878,
332,5.581851899,
333,5.565014615,
334,5.405060412,
335,5.197240215,
336,5.19101774,
337,5.194759359,
338,5.178309139,
339,4.947638341,
340,4.881279632,
341,5.049652477,
342,5.249041372,
343,5.55642448,
344,5.807720951,
345,5.959001401,
346,5.91690819,
347,5.941041631,
348,5.964945576,
349,5.891102057,
350,5.868692433,
351,5.828703882,
352,5.879215736,
353,5.983981061,
354,6.181819154,
355,6.417541137,
356,6.493308917,
357,6.577495339,
358,6.678519046,
359,7.014563182,
360,7.301133764,
361,7.532552886,
362,7.617234522,
363,7.777188725,
364,8.062219898,
365,8.300532232,
366,8.292425391,
367,8.256646162,
368,8.372168642,
369,8.641565193,
370,8.675239762,
371,8.717832866,
372,8.536729391,
373,8.335944774,
374,8.398191704,
375,8.58059562,
376,8.692058443,
377,8.75854413,
378,8.750773076,
379,8.891885555,
380,9.13602618,
381,9.416834669,
382,9.361590769,
383,9.273842613,
384,9.515810685,
385,9.830307106,
386,9.994350363,
387,9.985931721,
388,9.691980796,
389,9.649550839,
390,9.455100538,
391,9.390192922,
392,9.326211241,
393,9.024342783,
394,8.920728725,
395,8.808505106,
396,8.746066843,
397,8.737180498,
398,8.583239611,
399,8.431704051,
400,8.299164401,
401,8.316001686,
402,8.273908475,
403,8.04354381,
404,7.835883968,
405,7.640234722,
406,7.440130072,
407,7.544467905,
408,7.628654327,
409,7.56551451,
410,7.24261281,
411,7.336208303,
412,7.343979358,
413,7.110429928,
414,6.896957214,
415,6.703124915,
416,6.590876351,
417,6.663406192,
418,6.702438079,
419,6.817004819,
420,6.603602027,
421,6.647138434,
422,6.680813003,
423,6.546114728,
424,6.535163172,
425,6.52674453,
426,6.382889134,
427,6.191665689,
428,6.141153836,
429,6.115561163,
430,6.254936463,
431,6.503286409,
432,6.68403961,
433,6.806109922,
434,6.814528565,
435,6.742079672,
436,6.754955243,
437,6.571765587,
438,6.461481374,
439,6.705621999,
440,6.523218084,
441,6.576025931,
442,6.559188646,
443,6.453955618,
444,6.643698863,
445,6.595993223,
446,6.599231163,
447,6.570675808,
448,6.574543833,
449,6.557706549,
450,6.401360336,
451,6.455698845,
452,6.554936779,
453,6.624482084,
454,6.740539081,
455,6.727246488,
456,6.772401024,
457,6.757506503,
458,6.665238184,
459,6.466932389,
460,6.285931581,
461,6.227950246,
462,6.167616643,
463,6.091848863,
464,6.204448203,
465,5.926633009,
466,5.781495616,
467,5.803384086,
468,5.837058655,
469,6.057753814,
470,5.962852756,
471,5.920759545,
472,6.177528133,
473,6.248205572,
474,6.61158166,
475,6.61158166,
476,6.383904158,
477,6.396873418,
478,6.454120185,
479,6.639330314,
480,6.916525954,
481,6.74152024,
482,6.81728802,
483,6.827510657,
484,6.979046217,
485,7.0770086,
486,7.100321763,
487,7.150833616,
488,7.167670901,
