,Time (s),Max_RSSI_VLC,Min_RSSI_VLC,Std_RSSI_VLC,link_quality_wifi,signal_level_wifi,noise_level_wifi,bandwidth_wifi,jitter_wifi,lossPacket_wifi
0,1,1039,1008,4,100,-26,0,1056482,3.189,0.000
1,2,1038,1013,3,21,-66,0,1048748,4.887,0.000
2,3,1037,1011,3,15,-68,0,1048904,3.906,0.000
3,4,1040,1010,4,15,-68,0,1050284,3.497,0.000
4,5,1040,1010,4,15,-68,0,1042945,12.207,0.000
5,6,1826,256,556,15,-68,0,1049037,0.364,0.000
6,7,1823,248,556,15,-68,0,1048408,4.136,0.000
7,8,1852,245,554,15,-68,0,1053297,3.541,0.000
8,9,1824,254,558,15,-68,0,1048992,6.089,0.000
9,10,1830,255,560,15,-70,0,1048990,4.858,0.000
10,11,1823,255,558,3,-72,0,1056975,4.524,0.000
11,12,1852,225,230,15,-68,0,1049703,3.043,0.000
12,13,1823,224,559,15,-68,0,1055807,1.419,0.000
