,Time (s),Max_RSSI_VLC,Min_RSSI_VLC,Std_RSSI_VLC,link_quality_wifi,signal_level_wifi,noise_level_wifi
0,1,0,0,0,100,-38,0
1,2,0,0,0,99,-40,0
2,3,0,0,0,99,-40,0
3,4,0,0,0,99,-40,0
4,5,0,0,0,99,-40,0
5,6,0,0,0,99,-40,0
6,7,0,0,0,99,-40,0
7,8,0,0,0,99,-40,0
8,9,0,0,0,99,-40,0
9,10,0,0,0,99,-40,0
10,11,0,0,0,99,-40,0
11,12,0,0,0,99,-40,0
12,13,0,0,0,99,-40,0
13,14,0,0,0,99,-40,0
14,15,0,0,0,99,-40,0
15,16,0,0,0,99,-40,0
16,17,0,0,0,99,-40,0
17,18,0,0,0,99,-40,0
18,19,0,0,0,99,-40,0
19,20,0,0,0,99,-40,0
20,21,0,0,0,99,-40,0
21,22,0,0,0,99,-40,0
22,23,0,0,0,99,-40,0
23,24,0,0,0,99,-40,0
24,25,0,0,0,99,-40,0
25,26,0,0,0,99,-40,0
26,27,0,0,0,99,-40,0
27,28,0,0,0,99,-40,0
28,29,0,0,0,99,-40,0
29,30,0,0,0,99,-40,0
30,31,0,0,0,99,-40,0
31,32,0,0,0,99,-40,0
32,33,0,0,0,99,-40,0
33,34,0,0,0,99,-40,0
34,35,0,0,0,99,-40,0
35,36,0,0,0,99,-40,0
36,37,0,0,0,99,-40,0
37,38,0,0,0,99,-40,0
38,39,0,0,0,99,-40,0
39,40,0,0,0,99,-38,0
40,41,0,0,0,100,-38,0
41,42,0,0,0,100,-38,0
42,43,0,0,0,100,-38,0
43,44,0,0,0,100,-38,0
44,45,0,0,0,100,-38,0
45,46,0,0,0,100,-38,0
46,47,0,0,0,100,-38,0
47,48,0,0,0,100,-38,0
48,49,0,0,0,99,-40,0
49,50,0,0,0,93,-42,0
50,51,0,0,0,93,-42,0
51,52,0,0,0,93,-42,0
52,53,0,0,0,93,-42,0
53,54,0,0,0,93,-42,0
54,55,0,0,0,93,-42,0
55,56,0,0,0,93,-42,0
56,57,0,0,0,93,-42,0
57,58,0,0,0,93,-42,0
58,59,0,0,0,93,-42,0
59,60,0,0,0,93,-42,0
60,61,0,0,0,93,-42,0
61,62,0,0,0,93,-42,0
62,63,0,0,0,93,-42,0
63,64,0,0,0,0,-82,0
64,65,0,0,0,0,-82,0
65,66,0,0,0,0,-82,0
66,67,0,0,0,0,-82,0
67,68,0,0,0,0,-82,0
68,69,0,0,0,0,-82,0
69,70,0,0,0,0,-82,0
70,71,0,0,0,0,-82,0
71,72,0,0,0,0,-82,0
72,73,0,0,0,0,-82,0
73,74,0,0,0,0,-82,0
74,75,0,0,0,0,-82,0
75,76,0,0,0,0,-82,0
76,77,0,0,0,0,-82,0
77,78,0,0,0,0,-82,0
78,79,0,0,0,0,-82,0
79,80,0,0,0,0,-82,0
80,81,0,0,0,0,-82,0
81,82,0,0,0,0,-82,0
82,83,0,0,0,0,-82,0
83,84,0,0,0,0,-82,0
84,85,0,0,0,33,-62,0
85,86,0,0,0,99,-40,0
86,87,0,0,0,99,-40,0
87,88,0,0,0,99,-40,0
88,89,0,0,0,99,-40,0
89,90,0,0,0,99,-40,0
90,91,0,0,0,99,-40,0
91,92,0,0,0,99,-40,0
92,93,0,0,0,99,-40,0
93,94,0,0,0,99,-40,0
94,95,0,0,0,99,-40,0
95,96,0,0,0,99,-40,0
96,97,0,0,0,99,-40,0
97,98,0,0,0,99,-40,0
98,99,0,0,0,99,-40,0
99,100,0,0,0,99,-40,0
100,101,0,0,0,99,-40,0
101,102,0,0,0,99,-40,0
102,103,0,0,0,99,-40,0
103,104,0,0,0,99,-40,0
104,105,0,0,0,99,-40,0
105,106,0,0,0,99,-40,0
