,Time (s),Max_RSSI_VLC,Min_RSSI_VLC,Std_RSSI_VLC,link_quality_wifi,signal_level_wifi,noise_level_wifi,current_status,handover_decision
0,1,1038,1014,3,100,-24,0,1,2
1,2,1039,1010,3,100,-24,0,1,2
2,3,1035,1013,3,100,-24,0,1,2
3,4,1042,1012,4,100,-24,0,1,2
4,5,1827,270,502,100,-24,0,0,1
5,6,1838,191,241,100,-24,0,0,0
6,7,1837,223,548,100,-24,0,0,0
7,8,1837,230,489,100,-24,0,0,0
8,9,1840,224,529,100,-24,0,0,0
9,10,1836,239,533,100,-22,0,0,0
10,11,1840,242,483,100,-22,0,0,0
11,12,1834,227,482,100,-22,0,0,0
12,13,1277,785,170,100,-22,0,0,0
13,14,1276,783,173,100,-22,0,0,0
14,15,1037,1008,4,100,-24,0,1,0
15,16,1036,1011,3,100,-24,0,1,0
16,17,1280,775,126,100,-24,0,0,0
17,18,1281,776,176,100,-24,0,0,0
18,19,1286,776,177,100,-24,0,0,0
19,20,1290,775,178,100,-24,0,0,0
20,21,1288,772,130,100,-24,0,0,0
21,22,1823,245,247,100,-24,0,0,0
22,23,1808,272,545,100,-24,0,0,0
23,24,1807,273,546,100,-24,0,0,0
24,25,1815,256,544,100,-24,0,0,0
25,26,1820,245,537,100,-24,0,0,0
26,27,1841,236,539,27,-64,0,0,0
27,28,1843,147,464,27,-64,0,0,0
28,29,1809,269,543,27,-64,0,0,3
29,30,1032,1016,1,27,-64,0,1,2
30,31,1032,1014,1,27,-64,0,1,2
31,32,1033,1015,1,27,-64,0,1,2
32,33,1034,1016,1,100,-24,0,1,2
33,34,1032,1013,1,100,-22,0,1,2
34,35,1027,1016,1,100,-22,0,1,2
35,36,1031,1016,1,100,-22,0,1,2
36,37,1794,287,536,100,-22,0,0,1
37,38,1797,277,519,100,-22,0,0,0
38,39,1799,287,538,100,-22,0,0,0
39,40,1803,285,535,100,-22,0,0,0
40,41,1797,285,535,100,-22,0,0,0
41,42,1809,264,527,100,-22,0,0,0
42,43,1827,231,504,100,-22,0,0,0
43,44,1793,284,535,100,-22,0,0,0
44,45,1797,286,537,100,-22,0,0,0
45,46,1824,240,526,100,-22,0,0,0
46,47,1817,252,532,100,-22,0,0,0
47,48,1037,1011,4,100,-22,0,1,0
48,49,1815,280,527,100,-22,0,0,0
49,50,1801,285,536,100,-22,0,0,0
50,51,1797,282,539,100,-22,0,0,0
51,52,1798,247,517,100,-22,0,0,0
52,53,1825,270,537,100,-22,0,0,0
53,54,1040,1007,6,100,-22,0,1,3
54,55,1040,1007,5,100,-24,0,1,2
55,56,1041,1010,5,100,-24,0,1,2
56,57,1040,1008,6,100,-24,0,1,2
57,58,1038,1011,4,100,-24,0,1,2
58,59,1041,1004,5,100,-24,0,1,2
59,60,1040,1008,5,100,-24,0,1,2
60,61,1041,1005,6,100,-24,0,1,2
61,62,1042,1008,5,100,-24,0,1,2
62,63,1039,1006,4,100,-24,0,1,2
63,64,1828,191,523,100,-24,0,0,1
64,65,1803,276,539,100,-24,0,0,0
65,66,1802,278,540,100,-24,0,0,0
66,67,1822,265,535,100,-24,0,0,0
67,68,1809,263,541,100,-24,0,0,0
68,69,1812,282,541,100,-24,0,0,0
69,70,1824,279,531,100,-24,0,0,0
70,71,1811,237,535,100,-24,0,0,0
71,72,1814,165,513,100,-24,0,0,0
72,73,1799,279,538,100,-24,0,0,0
73,74,1830,250,499,100,-24,0,0,0
74,75,1799,277,539,100,-24,0,0,0
75,76,1807,276,540,100,-22,0,0,0
76,77,1796,250,355,100,-24,0,0,0
77,78,1831,231,484,100,-24,0,0,0
78,79,1807,234,514,100,-24,0,0,0
79,80,1822,246,489,0,-64,0,0,0
80,81,1834,253,531,57,-54,0,0,0
81,82,1807,280,540,57,-54,0,0,0
82,83,1799,274,542,57,-54,0,0,0
83,84,1807,246,329,57,-54,0,0,0
84,85,1827,253,532,57,-54,0,0,0
85,86,1832,208,519,57,-54,0,0,0
86,87,1810,278,543,57,-54,0,0,0
87,88,1802,279,543,57,-54,0,0,0
88,89,1799,280,538,57,-54,0,0,0
89,90,1793,284,535,57,-54,0,0,0
90,91,1803,289,534,57,-54,0,0,0
91,92,1810,252,500,57,-54,0,0,0
92,93,1811,271,506,57,-54,0,0,0
93,94,1790,285,533,57,-54,0,0,0
94,95,1809,261,288,57,-54,0,0,0
95,96,1789,291,530,57,-54,0,0,0
96,97,1789,291,532,57,-54,0,0,0
97,98,1793,289,529,57,-54,0,0,0
98,99,1813,292,379,57,-54,0,0,0
99,100,1813,190,509,57,-54,0,0,0
100,101,1787,290,530,57,-54,0,0,0
