slot_num, read_num, host_time, tsf_time, slot_index, slots_passed, 	 filler, packet_queued, transmitted, transmit_success, transmit_other, 	 bad_reception, busy_slot, channel_busy 
880, 173, 1957535, 847214796, 3, 5, 0, 0, 0, 0, 0, 0, 0, 0
881, 173, 1957535, 847214796, 3, 5, 0, 0, 0, 0, 0, 0, 0, 0
882, 173, 1957535, 847214796, 3, 5, 0, 0, 0, 0, 0, 0, 0, 0
883, 173, 1957535, 847214796, 3, 5, 0, 0, 0, 0, 0, 0, 0, 0
884, 173, 1957535, 847214796, 3, 5, 0, 0, 0, 0, 0, 0, 0, 0
885, 174, 1969538, 847226765, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0
886, 174, 1969538, 847226765, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0
887, 174, 1969538, 847226765, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0
888, 174, 1969538, 847226765, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0
889, 174, 1969538, 847226765, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0
890, 175, 1981534, 847238768, 6, 6, 0, 0, 0, 0, 0, 0, 0, 0
891, 175, 1981534, 847238768, 6, 6, 0, 0, 0, 0, 0, 0, 0, 0
892, 175, 1981534, 847238768, 6, 6, 0, 0, 0, 0, 0, 0, 0, 0
893, 175, 1981534, 847238768, 6, 6, 0, 0, 0, 0, 0, 0, 0, 0
894, 175, 1981534, 847238768, 6, 6, 0, 0, 0, 0, 0, 0, 0, 0
895, 175, 1981534, 847238768, 6, 6, 0, 0, 0, 0, 0, 0, 0, 0
896, 177, 2005932, 847263152, 1, 3, 0, 0, 0, 0, 0, 0, 0, 0
897, 177, 2005932, 847263152, 1, 3, 0, 0, 0, 0, 0, 0, 0, 0
898, 177, 2005932, 847263152, 1, 3, 0, 0, 0, 0, 0, 0, 0, 0
899, 178, 2017534, 847274788, 6, 5, 0, 0, 0, 0, 0, 0, 0, 0
900, 178, 2017534, 847274788, 6, 5, 0, 0, 0, 0, 0, 0, 0, 0
901, 178, 2017534, 847274788, 6, 5, 0, 0, 0, 0, 0, 0, 0, 0
902, 178, 2017534, 847274788, 6, 5, 0, 0, 0, 0, 0, 0, 0, 0
903, 178, 2017534, 847274788, 6, 5, 0, 0, 0, 0, 0, 0, 0, 0
904, 179, 2029541, 847286786, 3, 5, 0, 0, 0, 0, 0, 0, 0, 0
905, 179, 2029541, 847286786, 3, 5, 0, 0, 0, 0, 0, 0, 0, 0
906, 179, 2029541, 847286786, 3, 5, 0, 0, 0, 0, 0, 0, 0, 0
907, 179, 2029541, 847286786, 3, 5, 0, 0, 0, 0, 0, 0, 0, 0
908, 179, 2029541, 847286786, 3, 5, 0, 0, 0, 0, 0, 1, 0, 1
909, 180, 2041542, 847298795, 1, 6, 0, 0, 0, 0, 0, 0, 0, 0
910, 180, 2041542, 847298795, 1, 6, 0, 0, 0, 0, 0, 0, 0, 0
911, 180, 2041542, 847298795, 1, 6, 0, 0, 0, 0, 0, 0, 0, 0
912, 180, 2041542, 847298795, 1, 6, 0, 0, 0, 0, 0, 0, 0, 0
913, 180, 2041542, 847298795, 1, 6, 0, 0, 0, 0, 0, 0, 0, 0
914, 180, 2041542, 847298795, 1, 6, 0, 0, 0, 0, 0, 0, 0, 0
915, 181, 2053538, 847310785, 6, 5, 0, 0, 0, 0, 0, 0, 0, 0
916, 181, 2053538, 847310785, 6, 5, 0, 0, 0, 0, 0, 0, 0, 0
917, 181, 2053538, 847310785, 6, 5, 0, 0, 0, 0, 0, 0, 1, 0
918, 181, 2053538, 847310785, 6, 5, 0, 0, 0, 0, 0, 0, 1, 0
919, 181, 2053538, 847310785, 6, 5, 0, 0, 0, 0, 0, 0, 1, 0
920, 182, 2065541, 847325259, 5, 7, 0, 0, 0, 0, 0, 0, 1, 0
921, 182, 2065541, 847325259, 5, 7, 0, 0, 0, 0, 0, 0, 1, 0
922, 182, 2065541, 847325259, 5, 7, 0, 0, 0, 0, 0, 0, 1, 0
923, 182, 2065541, 847325259, 5, 7, 0, 0, 0, 0, 0, 0, 1, 0
924, 182, 2065541, 847325259, 5, 7, 0, 0, 0, 0, 0, 0, 1, 0
925, 182, 2065541, 847325259, 5, 7, 0, 0, 0, 0, 0, 0, 1, 0
926, 182, 2065541, 847325259, 5, 7, 0, 0, 0, 0, 0, 0, 1, 0
