slot_num, read_num, host_time, tsf_time, slot_index, slots_passed, 	 filler, packet_queued, transmitted, transmit_success, transmit_other, 	 bad_reception, busy_slot, channel_busy 
882, 173, 1973089, 847192991, 1, 3, 0, 0, 0, 0, 0, 0, 0, 0
883, 174, 1984604, 847204539, 6, 5, 0, 0, 0, 0, 0, 0, 0, 0
884, 174, 1984604, 847204539, 6, 5, 0, 0, 0, 0, 0, 0, 0, 0
885, 174, 1984604, 847204539, 6, 5, 0, 0, 0, 0, 0, 0, 0, 0
886, 174, 1984604, 847204539, 6, 5, 0, 0, 0, 0, 0, 0, 0, 0
887, 174, 1984604, 847204539, 6, 5, 0, 0, 0, 0, 0, 0, 0, 0
888, 175, 1996562, 847216490, 4, 6, 0, 0, 0, 0, 0, 0, 0, 0
889, 175, 1996562, 847216490, 4, 6, 0, 0, 0, 0, 0, 0, 0, 0
890, 175, 1996562, 847216490, 4, 6, 0, 0, 0, 0, 0, 0, 0, 0
891, 175, 1996562, 847216490, 4, 6, 0, 0, 0, 0, 0, 0, 0, 0
892, 175, 1996562, 847216490, 4, 6, 0, 0, 0, 0, 0, 0, 0, 0
893, 175, 1996562, 847216490, 4, 6, 0, 0, 0, 0, 0, 0, 0, 0
894, 176, 2006600, 847226508, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0
895, 176, 2006600, 847226508, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0
896, 176, 2006600, 847226508, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0
897, 176, 2006600, 847226508, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0
898, 177, 2020563, 847240495, 6, 6, 0, 0, 0, 0, 0, 0, 0, 0
899, 177, 2020563, 847240495, 6, 6, 0, 0, 0, 0, 0, 0, 0, 0
900, 177, 2020563, 847240495, 6, 6, 0, 0, 0, 0, 0, 0, 0, 0
901, 177, 2020563, 847240495, 6, 6, 0, 0, 0, 0, 0, 0, 0, 0
902, 177, 2020563, 847240495, 6, 6, 0, 0, 0, 0, 0, 0, 0, 0
903, 177, 2020563, 847240495, 6, 6, 0, 0, 0, 0, 0, 0, 0, 0
904, 178, 2032574, 847254881, 5, 7, 0, 0, 0, 0, 0, 0, 0, 0
905, 178, 2032574, 847254881, 5, 7, 0, 0, 0, 0, 0, 0, 0, 0
906, 178, 2032574, 847254881, 5, 7, 0, 0, 0, 0, 0, 0, 0, 0
907, 178, 2032574, 847254881, 5, 7, 0, 0, 0, 0, 0, 0, 0, 0
908, 178, 2032574, 847254881, 5, 7, 0, 0, 0, 0, 0, 0, 0, 0
909, 178, 2032574, 847254881, 5, 7, 0, 0, 0, 0, 0, 0, 0, 0
910, 178, 2032574, 847254881, 5, 7, 0, 0, 0, 0, 0, 0, 0, 0
911, 179, 2041378, 847261287, 0, 3, 0, 0, 0, 0, 0, 0, 1, 0
912, 179, 2041378, 847261287, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0
913, 179, 2041378, 847261287, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0
914, 180, 2052573, 847272490, 5, 5, 0, 0, 0, 0, 0, 0, 0, 0
