slot_num, read_num, host_time, tsf_time, slot_index, slots_passed, 	 filler, packet_queued, transmitted, transmit_success, transmit_other, 	 bad_reception, busy_slot, channel_busy 
876, 171, 1950038, 847201063, 5, 3, 0, 0, 0, 0, 0, 0, 0, 0
877, 171, 1950038, 847201063, 5, 3, 0, 0, 0, 0, 0, 1, 0, 1
878, 171, 1950038, 847201063, 5, 3, 0, 0, 0, 0, 0, 0, 0, 0
879, 172, 1961172, 847212228, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0
880, 172, 1961172, 847212228, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0
881, 172, 1961172, 847212228, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0
882, 172, 1961172, 847212228, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0
883, 172, 1961172, 847212228, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0
884, 173, 1973167, 847224214, 7, 5, 0, 0, 0, 0, 0, 0, 0, 0
885, 173, 1973167, 847224214, 7, 5, 0, 0, 0, 0, 0, 0, 0, 0
886, 173, 1973167, 847224214, 7, 5, 0, 0, 0, 0, 0, 0, 0, 0
887, 173, 1973167, 847224214, 7, 5, 0, 0, 0, 0, 0, 0, 0, 0
888, 173, 1973167, 847224214, 7, 5, 0, 0, 0, 0, 0, 0, 0, 0
889, 174, 1985180, 847236235, 5, 6, 0, 0, 0, 0, 0, 0, 0, 0
890, 174, 1985180, 847236235, 5, 6, 0, 0, 0, 0, 0, 0, 0, 0
891, 174, 1985180, 847236235, 5, 6, 0, 0, 0, 0, 0, 0, 0, 0
892, 174, 1985180, 847236235, 5, 6, 0, 0, 0, 0, 0, 0, 0, 0
893, 174, 1985180, 847236235, 5, 6, 0, 0, 0, 0, 0, 0, 0, 0
894, 174, 1985180, 847236235, 5, 6, 0, 0, 0, 0, 0, 0, 0, 0
895, 176, 2009577, 847260622, 0, 3, 0, 0, 0, 0, 0, 0, 1, 0
896, 176, 2009577, 847260622, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0
897, 176, 2009577, 847260622, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0
898, 177, 2021179, 847272245, 5, 5, 0, 0, 0, 0, 0, 0, 0, 0
899, 177, 2021179, 847272245, 5, 5, 0, 0, 0, 0, 0, 0, 0, 0
900, 177, 2021179, 847272245, 5, 5, 0, 0, 0, 0, 0, 0, 0, 0
901, 177, 2021179, 847272245, 5, 5, 0, 0, 0, 0, 0, 0, 0, 0
902, 177, 2021179, 847272245, 5, 5, 0, 0, 0, 0, 0, 0, 0, 0
903, 178, 2033175, 847284225, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0
904, 178, 2033175, 847284225, 2, 5, 0, 0, 0, 0, 0, 1, 1, 1
905, 178, 2033175, 847284225, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0
906, 178, 2033175, 847284225, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0
907, 178, 2033175, 847284225, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0
908, 179, 2045174, 847296232, 0, 6, 0, 0, 0, 0, 0, 0, 1, 0
909, 179, 2045174, 847296232, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0
910, 179, 2045174, 847296232, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0
911, 179, 2045174, 847296232, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0
912, 179, 2045174, 847296232, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0
913, 179, 2045174, 847296232, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0
914, 180, 2057217, 847308357, 5, 5, 0, 0, 0, 0, 0, 0, 0, 0
915, 180, 2057217, 847308357, 5, 5, 0, 0, 0, 0, 0, 0, 0, 0
916, 180, 2057217, 847308357, 5, 5, 0, 0, 0, 0, 0, 0, 0, 0
917, 180, 2057217, 847308357, 5, 5, 0, 0, 0, 0, 0, 0, 1, 0
918, 180, 2057217, 847308357, 5, 5, 0, 0, 0, 0, 0, 0, 1, 0
919, 181, 2069178, 847322925, 4, 7, 0, 0, 0, 0, 0, 0, 1, 0
920, 181, 2069178, 847322925, 4, 7, 0, 0, 0, 0, 0, 0, 1, 0
921, 181, 2069178, 847322925, 4, 7, 0, 0, 0, 0, 0, 0, 1, 0
922, 181, 2069178, 847322925, 4, 7, 0, 0, 0, 0, 0, 0, 1, 0
923, 181, 2069178, 847322925, 4, 7, 0, 0, 0, 0, 0, 0, 1, 0
924, 181, 2069178, 847322925, 4, 7, 0, 0, 0, 0, 0, 0, 1, 0
925, 181, 2069178, 847322925, 4, 7, 0, 0, 0, 0, 0, 0, 1, 0
926, 182, 2078200, 847329235, 7, 3, 0, 0, 0, 0, 0, 0, 1, 0
927, 182, 2078200, 847329235, 7, 3, 0, 0, 0, 0, 0, 0, 1, 0
928, 182, 2078200, 847329235, 7, 3, 0, 0, 0, 0, 0, 0, 1, 0
929, 183, 2093232, 847344387, 6, 7, 0, 0, 0, 0, 0, 0, 1, 0
930, 183, 2093232, 847344387, 6, 7, 0, 0, 0, 0, 0, 0, 1, 0
931, 183, 2093232, 847344387, 6, 7, 0, 0, 0, 0, 0, 0, 1, 0
932, 183, 2093232, 847344387, 6, 7, 0, 0, 0, 0, 0, 0, 0, 0
933, 183, 2093232, 847344387, 6, 7, 0, 0, 0, 0, 0, 0, 1, 0
934, 183, 2093232, 847344387, 6, 7, 0, 0, 0, 0, 0, 0, 0, 0
935, 183, 2093232, 847344387, 6, 7, 0, 0, 0, 0, 0, 0, 0, 0
936, 185, 2125182, 847376268, 4, 6, 0, 0, 0, 0, 0, 0, 0, 0
937, 185, 2125182, 847376268, 4, 6, 0, 0, 0, 0, 0, 1, 1, 1
938, 185, 2125182, 847376268, 4, 6, 0, 0, 0, 0, 0, 0, 0, 0
939, 185, 2125182, 847376268, 4, 6, 0, 0, 0, 0, 0, 0, 0, 0
940, 185, 2125182, 847376268, 4, 6, 0, 0, 0, 0, 0, 0, 0, 0
941, 185, 2125182, 847376268, 4, 6, 0, 0, 0, 0, 0, 0, 0, 0
942, 186, 2137178, 847390770, 3, 7, 0, 0, 0, 0, 0, 0, 0, 0
943, 186, 2137178, 847390770, 3, 7, 0, 0, 0, 0, 0, 0, 0, 0
944, 186, 2137178, 847390770, 3, 7, 0, 0, 0, 0, 0, 0, 0, 0
945, 186, 2137178, 847390770, 3, 7, 0, 0, 0, 0, 0, 0, 0, 0
946, 186, 2137178, 847390770, 3, 7, 0, 0, 0, 0, 0, 0, 1, 0
947, 186, 2137178, 847390770, 3, 7, 0, 0, 0, 0, 0, 0, 1, 0
948, 186, 2137178, 847390770, 3, 7, 0, 0, 0, 0, 0, 0, 1, 0
949, 187, 2145879, 847396907, 6, 3, 0, 0, 0, 0, 0, 0, 0, 0
950, 187, 2145879, 847396907, 6, 3, 0, 0, 0, 0, 0, 0, 0, 0
951, 187, 2145879, 847396907, 6, 3, 0, 0, 0, 0, 0, 0, 0, 0
952, 188, 2157243, 847408390, 3, 5, 0, 0, 0, 0, 0, 0, 1, 0
953, 188, 2157243, 847408390, 3, 5, 0, 0, 0, 0, 0, 0, 1, 0
954, 188, 2157243, 847408390, 3, 5, 0, 0, 0, 0, 0, 0, 0, 0
955, 188, 2157243, 847408390, 3, 5, 0, 0, 0, 0, 0, 0, 1, 0
956, 188, 2157243, 847408390, 3, 5, 0, 0, 0, 0, 0, 0, 0, 0
957, 189, 2169183, 847420259, 0, 5, 0, 0, 0, 0, 0, 0, 1, 0
958, 189, 2169183, 847420259, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0
